taxa,PC1,PC2,PC3
LAR4N8,77.0988809270596,3.38406633207356,-2.00448867296461
LAR4N82,-35.1821182231545,58.0087640918084,-3.88700914412338
LAR4N84,-31.7709755866132,52.2036632076301,16.1084253496165
LAR4N86,-35.5009309621962,61.4604035926865,-2.08978470512446
LAR4N87,-35.7935496605696,57.5894968351931,-15.3204935144165
LAR4N88,-30.3046439759516,64.1719939830688,-28.6525464537734
LAR4N89,-29.8558261994764,56.8727551793108,-15.2362094088568
LAR4N90,-29.6407070373495,64.4140236870915,-10.6700887144509
LAR4N91,-30.6548386537036,60.461560537116,-14.0077665884533
LAR4N92,-34.0534531604104,50.4402019648517,20.2441222650159
LAR5N104,-30.8960407119411,53.7637374034702,7.06747500308615
LAR5N105,-40.6137532720865,53.3432378971748,2.12370246826914
LAR5N107,-31.7108935875517,60.0675303387545,3.41580584137983
LAR5N108,-33.3822075853514,57.9120469708306,14.9617495661496
LAR5N111,-33.7617655320603,54.4248062734365,-9.18263153811405
LAR5N112,-31.8498334076886,64.4007029976576,-11.0412276326872
LAR5N113,-26.544846202441,56.6993751014956,-14.2830359899992
LAR5N118,-34.0370187080224,61.483400905204,-2.42650906240843
LAR5N119,-30.4789316069314,57.968555605302,11.0965535293832
LAR5N120,-33.9606677719224,54.001038579888,6.21451665090201
LAR5N123,-34.7968845808094,61.9088488026859,-18.4142450183817
LAR5N125,-30.1007609624513,63.5370212547279,-3.23629580065452
LAR5N14,-33.1890593931988,65.8206169131777,-1.95308862687411
LAR5N15,-29.3757884571253,59.2957262618496,-18.0792834659949
LAR5N17,-34.5455472024579,58.0209000754862,7.94454560060574
LAR5N18,-28.8892970373832,55.6025335585694,14.2256736742658
LAR5N2,-32.6484596983578,55.7871280880534,10.5518787183103
LAR5N20,-27.4709973868262,59.9531452992429,1.78254596304695
